"obs_id"	"Y"	"delta"	"T"
1	2.04821293423683	1	2.04821293423683
2	1.23151076698093	1	1.23151076698093
3	2.03586651080032	1	2.03586651080032
4	0.689578876270533	1	0.689578876270533
5	0.823527788114734	0	2.38001977630516
6	2.85047409725375	0	3.00279096117338
7	1.64261367757883	1	1.64261367757883
8	0.81722033158876	0	0.856477491105362
9	0.800374493892305	0	2.72941307838961
10	0.499269199267375	1	0.499269199267375
11	1.86960664352402	0	2.38152911338563
12	1.504913761965	0	1.68549058968873
13	1.90164111684542	0	2.42163627689925
14	1.539272090665	1	1.539272090665
15	1.8735918675689	0	1.8965904572395
16	3.00563842874952	0	3.08066609473528
17	1.86933703416115	1	1.86933703416115
18	0.83162993168924	0	1.23096449841092
19	1.04995896090835	1	1.04995896090835
20	0.842605133838516	1	0.842605133838516
21	2.27964614272884	1	2.27964614272884
22	2.59186859046575	0	2.98587911144874
23	1.60864453157876	0	2.31806554744487
24	1.32201717767981	1	1.32201717767981
25	2.32264393352888	1	2.32264393352888
26	1.87611865619197	0	2.21843580517155
27	1.02895255268551	0	2.40774712875446
28	1.82912738439508	1	1.82912738439508
29	1.45202447767127	1	1.45202447767127
30	1.19266903763637	0	1.75762283231938
31	1.80001487464178	0	3.05359031685412
32	1.08444114586804	0	1.88568034722149
33	0.803160093096085	0	1.80408019615645
34	2.29189502028269	1	2.29189502028269
35	0.934898480850919	1	0.934898480850919
36	1.67119897499215	0	2.13886637189608
37	0.897420904044993	0	2.99245442567891
38	2.04596352120954	1	2.04596352120954
39	1.16360686658275	1	1.16360686658275
40	2.32656115274238	1	2.32656115274238
41	2.08815203402215	1	2.08815203402215
42	1.32685350617988	1	1.32685350617988
43	1.01714612092357	0	1.54399185318815
44	1.18806037284665	1	1.18806037284665
45	1.5029707881948	0	1.69525798275539
46	0.996236371803097	0	2.70197067413888
47	0.735181229973517	1	0.735181229973517
48	1.82197581181768	0	2.60478196101646
49	2.29528859013226	0	2.3429879658283
50	1.04006063410081	0	1.64354743828798
51	2.1218224165665	1	2.1218224165665
52	2.50632173576392	0	3.44266023104218
53	1.72639699623375	1	1.72639699623375
54	1.4094811715819	1	1.4094811715819
55	1.32981837302446	0	2.73978573292434
56	1.37936983056333	1	1.37936983056333
57	2.64647136269137	0	2.90657190838971
58	0.82767325130757	0	1.50465856376177
59	2.602097269369	1	2.602097269369
60	1.66966753298846	1	1.66966753298846
61	1.96463367441669	0	2.27405417474526
62	2.09533706260764	1	2.09533706260764
63	1.756247144199	1	1.756247144199
64	1.10069451712072	0	2.64310436409547
65	0.891495525665512	1	0.891495525665512
66	1.93311085918793	1	1.93311085918793
67	1.67714595830068	0	2.51197660218937
68	0.98240215060292	1	0.98240215060292
69	0.932053125072271	0	2.40842085276665
70	1.92177034902235	1	1.92177034902235
71	1.09688767164014	0	3.2691350986784
72	1.01914768228801	1	1.01914768228801
73	1.89683903973753	1	1.89683903973753
74	1.81584476450384	1	1.81584476450384
75	1.93053393255955	1	1.93053393255955
76	0.307817910855794	1	0.307817910855794
77	2.17489663525322	1	2.17489663525322
78	2.36395574193029	1	2.36395574193029
79	2.11205348096924	1	2.11205348096924
80	0.984410769650713	0	1.84873236583928
81	1.07051930132788	0	1.58177397026543
82	2.02698131771172	1	2.02698131771172
83	1.13046375937294	0	3.20971462781441
84	1.34515650294395	1	1.34515650294395
85	1.44858065742078	1	1.44858065742078
86	1.64387632532511	0	2.80243347763349
87	1.04656885158136	1	1.04656885158136
88	1.06756272790038	1	1.06756272790038
89	1.45428583405264	1	1.45428583405264
90	1.7848198788038	1	1.7848198788038
91	1.25327104848084	1	1.25327104848084
92	1.44907177606598	0	2.49780862359296
93	1.67116945281193	1	1.67116945281193
94	1.13691708498634	0	1.52912148847374
95	1.7869601737338	1	1.7869601737338
96	1.40140777563211	0	1.60333353177526
97	2.00717420443427	0	2.15060986834304
98	2.28064482087735	0	3.38935080183998
99	1.25658528097905	0	2.96092101982959
100	1.59545861352701	0	2.80439095923751
101	0.843469309373759	0	1.75675702404095
102	2.11283168592025	0	2.32293295643881
